setting,run,query_time,time_sim,fnA,fnA_prec,fnA_rec,fnB_prec,fnB_rec,fnC_prec,fnC_rec,fnA_tp,fnA_fp,fnA_tn,fnA_fn,fnB_tp,fnB_fp,fnB_tn,fnB_fn,fnC_tp,fnC_fp,fnC_tn,fnC_fn,resp,resp_prec,resp_rec,resp_tp,resp_fp,resp_tn,resp_fn,mal,mal_prec,mal_rec,mal_tp,mal_fp,mal_tn,mal_fn,memb,memb_prec,memb_rec,memb_tp,memb_fp,memb_tn,memb_fn
1,3,0:00:08.201825,3,1,,,,,,,1,0,8,0,1,0,8,0,1,0,8,0,1,,,0,1,28,0,1,,,0,1,13,2,0,,,0,0,696,7
1,3,0:00:07.874050,4,0,,,,,,,0,0,10,1,0,3,7,1,0,0,10,1,0,,,0,0,31,0,0,,,0,0,16,0,0,,,0,0,904,2
1,3,0:00:08.602278,5,0,,,,,,,0,0,7,0,0,2,5,0,0,0,7,0,0,,,0,0,28,0,0,,,0,0,17,0,0,,,0,0,1037,0
1,3,0:00:08.336548,6,0,,,,,,,0,0,10,1,1,1,9,0,0,0,10,1,0,,,0,0,32,0,0,,,0,0,12,0,0,,,0,0,1176,2
1,3,0:00:08.139190,7,0,,,,,,,0,0,6,0,0,2,4,0,0,0,6,0,0,,,0,0,22,0,0,,,0,0,11,0,0,,,0,0,891,0
1,3,0:00:08.553145,8,1,,,,,,,0,1,6,1,0,1,6,1,0,1,6,1,1,,,0,1,28,0,1,,,0,1,8,0,0,,,0,0,852,0
1,3,0:00:07.412216,9,0,,,,,,,0,0,5,2,0,2,3,2,0,0,5,2,0,,,0,0,17,7,0,,,0,0,7,0,0,,,0,0,959,0
1,3,0:00:06.892563,10,0,,,,,,,0,0,9,1,0,3,6,1,0,0,9,1,0,,,0,0,22,0,0,,,0,0,3,0,0,,,0,0,417,0
1,3,0:00:07.232653,11,0,,,,,,,0,0,9,0,0,3,6,0,0,0,9,0,0,,,0,0,31,0,0,,,0,0,3,0,0,,,0,0,1177,0
1,3,0:00:08.917101,12,3,,,,,,,0,3,6,1,1,0,6,0,0,0,6,1,3,,,0,3,19,4,3,,,0,3,4,0,2,,,0,2,984,0
1,3,0:00:09.089777,13,1,,,,,,,1,0,3,0,1,0,3,0,1,0,3,0,3,,,3,0,14,0,0,,,0,0,1,0,0,,,0,0,299,0
