0,9
0,21
0,38
0,40
0,46
0,50
0,61
0,64
0,73
0,76
0,86
0,125
0,139
0,219
0,290
0,324
0,377
0,378
0,382
0,394
0,409
0,489
1,4
1,17
1,39
1,57
1,141
1,199
1,222
1,258
1,284
1,328
1,344
1,406
2,3
2,25
2,33
2,118
2,131
2,138
2,280
2,281
2,386
3,12
3,16
3,57
3,139
3,179
3,272
3,324
4,1
4,20
4,82
4,92
4,138
4,141
4,158
4,160
4,252
4,257
4,276
4,281
4,468
5,322
6,0
6,8
6,13
6,32
6,38
6,102
6,319
7,79
7,109
8,0
8,2
8,39
8,112
8,143
8,277
8,289
8,299
8,347
8,376
9,2
9,32
9,51
9,94
9,125
9,254
9,320
9,345
9,412
10,63
10,105
10,252
10,258
11,47
11,111
11,344
11,377
12,3
12,4
12,32
12,33
12,67
12,157
12,225
12,282
12,359
12,439
13,38
13,73
13,130
13,180
13,256
14,158
14,446
16,75
16,219
16,220
16,236
16,259
16,266
16,285
16,297
16,353
16,439
17,8
17,14
17,18
17,266
17,383
17,440
18,125
18,143
18,335
18,493
19,190
19,281
20,4
20,26
20,43
20,66
20,274
20,275
21,71
21,328
22,18
22,95
22,104
22,141
22,156
22,344
23,34
24,40
24,47
24,94
24,118
24,297
25,3
25,24
25,143
25,314
25,345
26,295
27,26
27,227
27,266
28,34
28,116
28,132
29,0
30,38
30,47
32,4
32,16
32,20
32,35
32,39
32,63
32,157
32,203
32,219
32,224
32,225
32,321
32,379
32,392
32,453
33,0
33,49
33,95
33,251
33,457
34,86
34,94
34,100
34,152
34,205
34,297
34,346
34,447
35,20
35,250
36,25
36,32
36,48
36,50
36,127
36,230
36,272
36,402
37,253
37,363
38,2
38,33
38,273
39,4
39,17
39,104
39,112
39,269
39,281
39,461
40,11
40,235
40,411
41,71
41,130
41,172
42,34
42,71
43,63
43,65
43,263
44,391
47,16
47,86
48,34
48,38
48,65
48,305
48,344
48,416
49,1
49,12
49,261
49,266
51,16
51,328
52,75
52,387
55,4
55,10
55,13
55,160
55,383
56,85
56,282
56,325
59,312
60,377
62,252
63,0
63,4
63,41
63,76
63,125
63,146
63,150
63,262
63,359
63,383
63,422
